"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"IA", "25", "Jo", "27", "té", "675"
"EG", "25", "Da", "27", "al", "671"
"AS", "25", "Lé", "25", "na", "665"
"DI", "25", "Ao", "25", "oi", "650"
"SS", "24", "RÉ", "25", "mi", "649"
"NC", "24", "Ho", "24", "és", "633"
"OL", "24", "TÉ", "24", "rs", "627"
"HE", "23", "Ve", "24", "je", "613"
"SI", "23", "DÉ", "23", "gu", "594"
"IC", "23", "Hu", "22", "ni", "593"
"AL", "23", "Vi", "21", "mp", "592"
"CL", "23", "Yo", "21", "uv", "578"
"AD", "23", "Ar", "21", "nc", "570"
"OR", "23", "Oc", "21", "ic", "557"
"GA", "23", "Li", "20", "fi", "525"
"RT", "22", "Ta", "20", "do", "525"
"PI", "22", "He", "20", "ux", "520"
"RS", "21", "Ex", "20", "bi", "513"
"UE", "21", "Ga", "19", "bl", "501"
"OU", "21", "Es", "19", "tt", "500"
"IR", "20", "St", "19", "pu", "500"
"FO", "20", "It", "19", "ro", "497"
"AC", "20", "Or", "18", "ac", "493"
"HO", "20", "Du", "18", "ca", "483"
"ID", "20", "Sc", "17", "ec", "475"
"VO", "19", "Bi", "17", "or", "463"
"LO", "19", "Fi", "17", "im", "460"
"NG", "19", "Fo", "16", "ul", "449"
"UX", "19", "Là", "16", "fo", "447"
"DU", "18", "Ai", "16", "ge", "418"
"VE", "18", "Te", "15", "jo", "418"
"EA", "18", "Lu", "14", "né", "415"
"FI", "18", "Ou", "14", "va", "410"
"BE", "18", "Fé", "14", "id", "410"
"SU", "17", "Fe", "14", "gr", "398"
"EC", "16", "NÉ", "14", "lu", "396"
"RD", "16", "Ag", "13", "am", "390"
"EM", "16", "Pu", "12", "he", "380"
"AV", "16", "Wa", "12", "ex", "374"
"II", "16", "Ri", "11", "ag", "374"
"RU", "15", "Pl", "10", "rd", "371"
"FE", "15", "Fa", "10", "fe", "367"
"RO", "15", "We", "9", "cr", "362"
"MI", "15", "Ec", "9", "rr", "352"
"JO", "14", "Tu", "9", "ap", "350"
"DR", "14", "VÉ", "9", "mb", "345"
"UD", "14", "At", "9", "lo", "340"
"MB", "13", "Pt", "8", "nn", "337"
"BA", "13", "Hi", "8", "ts", "336"
"WE", "13", "Va", "8", "ée", "334"
"PU", "13", "Ra", "8", "sé", "333"
"GR", "13", "Cu", "8", "fr", "327"
"OP", "13", "Th", "8", "ér", "322"
"FA", "13", "GÉ", "8", "mê", "321"
"RR", "12", "LÉ", "8", "ab", "309"
"UT", "12", "Mm", "7", "gn", "305"
"TS", "12", "Ci", "7", "éc", "301"
"MP", "12", "IÉ", "7", "as", "298"
"PL", "12", "Ka", "6", "ct", "297"
"XI", "11", "Ti", "6", "op", "280"
"AG", "11", "Ke", "6", "vr", "275"
"EI", "11", "Ll", "6", "tu", "272"
"SC", "11", "Ml", "6", "ga", "266"
"AP", "11", "MÉ", "6", "dr", "255"
"BI", "10", "Hé", "5", "ng", "255"
"HA", "10", "Sy", "5", "rm", "254"
"EU", "10", "Rh", "5", "rc", "247"
"TU", "10", "Tz", "5", "bo", "246"
"OT", "9", "Bl", "5", "ix", "245"
"OG", "9", "Ac", "5", "be", "244"
"WI", "9", "Mê", "5", "mé", "239"
"LS", "9", "My", "5", "cu", "238"
"BR", "9", "PÉ", "5", "êt", "235"
"IV", "9", "Kg", "5", "iq", "225"
"ZE", "9", "Ki", "5", "ui", "224"
"UP", "9", "Ed", "4", "ia", "220"
"YS", "8", "Ab", "4", "sp", "219"
"JE", "8", "Kr", "4", "up", "214"
"UV", "8", "Of", "4", "iv", "211"
"BL", "8", "Gi", "4", "rv", "208"
"MU", "8", "Wh", "4", "ez", "208"
"GI", "8", "Mr", "4", "br", "208"
"LU", "8", "Zu", "4", "ol", "207"
"OM", "8", "Ly", "3", "gé", "206"
"CT", "8", "Bd", "3", "nu", "204"
"OF", "8", "Ad", "3", "ès", "204"
"OC", "8", "Ts", "3", "ho", "202"
"RC", "7", "Ie", "3", "rn", "200"
"GO", "7", "Py", "3", "ye", "199"
"IQ", "7", "Sp", "3", "lé", "195"
"UL", "7", "Aj", "3", "pé", "194"
"YE", "6", "Sh", "3", "of", "191"
"NN", "6", "Dî", "3", "ad", "187"
"CU", "6", "Rô", "2", "cl", "187"
"KE", "6", "Oi", "2", "ju", "187"
"OS", "6", "Mé", "2", "ys", "185"
"EV", "6", "Kl", "2", "ha", "184"
"WA", "6", "Sl", "2", "ay", "174"
"LV", "5", "Eg", "2", "èr", "173"
"EX", "5", "Dè", "2", "oc", "170"
"XV", "5", "Ud", "2", "ib", "169"
"VA", "5", "Ic", "2", "ei", "164"
"YL", "5", "Rt", "2", "if", "164"
"FF", "5", "Ol", "2", "rl", "163"
"DG", "5", "Ay", "2", "os", "163"
"UI", "5", "Is", "2", "pi", "163"
"GN", "5", "Yp", "2", "rè", "158"
"JA", "5", "Er", "2", "él", "158"
"EQ", "5", "Vé", "2", "où", "157"
"ZA", "5", "Ev", "2", "ef", "156"
"LK", "4", "Ir", "2", "sc", "153"
"HU", "4", "Hy", "2", "ça", "151"
"PH", "4", "Im", "2", "ba", "150"
"RY", "4", "Ot", "2", "ls", "142"
"CB", "4", "Kn", "2", "ru", "142"
"AB", "4", "Nu", "2", "gi", "141"
"UC", "4", "BÉ", "2", "gl", "140"
"TH", "4", "UÉ", "2", "af", "140"
"FU", "4", "Fû", "1", "ig", "137"
"SH", "4", "Tc", "1", "ea", "137"
"VR", "4", "Bâ", "1", "ué", "137"
"GL", "4", "Zo", "1", "vé", "136"
"RV", "4", "Gl", "1", "év", "133"
"IF", "4", "Cé", "1", "tl", "131"
"ED", "4", "Ku", "1", "nf", "130"
"HN", "3", "Uk", "1", "ud", "130"
"WS", "3", "Jé", "1", "ép", "127"
"KY", "3", "Vl", "1", "ff", "127"
"HL", "3", "Os", "1", "éa", "124"
"UG", "3", "Km", "1", "ob", "123"
"JU", "3", "Ah", "1", "lt", "122"
"RL", "3", "Sq", "1", "uc", "121"
"RM", "3", "Dû", "1", "iè", "120"
"SP", "3", "Wr", "1", "ja", "118"
"EY", "3", "CÉ", "1", "bu", "117"
"NH", "3", "Up", "1", "hu", "113"
"YA", "3", "Tâ", "1", "om", "109"
"IG", "3", "CÔ", "1", "pp", "107"
"LT", "3", "HÉ", "1", "hi", "106"
"OY", "3", "RÈ", "1", "sm", "106"
"CK", "3", "Fê", "1", "nq", "103"
"UM", "3", "UÊ", "1", "sq", "102"
"GT", "3", "Oe", "1", "lg", "101"
"IM", "3", "FÉ", "1", "fu", "100"
"NQ", "3", "Nö", "1", "uj", "96"
"OV", "3", "Pâ", "1", "ot", "92"
"PT", "3", "Xa", "1", "vu", "91"
"XE", "3", "", "", "ié", "91"
"NF", "3", "", "", "nv", "88"
"PS", "3", "", "", "pt", "86"
"NX", "3", "", "", "ém", "85"
"KL", "3", "", "", "ev", "83"
"RG", "2", "", "", "go", "82"
"NV", "2", "", "", "rê", "82"
"IB", "2", "", "", "là", "82"
"OE", "2", "", "", "éd", "74"
"SM", "2", "", "", "od", "74"
"MN", "2", "", "", "fl", "72"
"EZ", "2", "", "", "hé", "71"
"LC", "2", "", "", "ya", "70"
"KO", "2", "", "", "aî", "69"
"HY", "2", "", "", "og", "68"
"AY", "2", "", "", "cé", "67"
"EP", "2", "", "", "én", "66"
"HI", "2", "", "", "jà", "63"
"TY", "2", "", "", "ég", "63"
"EF", "2", "", "", "bé", "62"
"LD", "2", "", "", "ût", "61"
"RH", "2", "", "", "cc", "59"
"WH", "2", "", "", "èc", "58"
"EE", "2", "", "", "mu", "57"
"AF", "2", "", "", "xe", "55"
"VU", "2", "", "", "ph", "55"
"GG", "2", "", "", "lè", "54"
"LG", "2", "", "", "aq", "54"
"XT", "2", "", "", "oy", "51"
"SX", "2", "", "", "th", "51"
"NL", "1", "", "", "uf", "50"
"FL", "1", "", "", "rb", "48"
"FT", "1", "", "", "sy", "47"
"PY", "1", "", "", "ds", "47"
"OK", "1", "", "", "éq", "47"
"SN", "1", "", "", "rp", "46"
"EW", "1", "", "", "mè", "46"
"WY", "1", "", "", "lh", "43"
"MS", "1", "", "", "cs", "43"
"OO", "1", "", "", "èg", "42"
"DM", "1", "", "", "ço", "42"
"SY", "1", "", "", "pè", "41"
"HC", "1", "", "", "um", "38"
"HS", "1", "", "", "ld", "38"
"EO", "1", "", "", "ip", "38"
"NZ", "1", "", "", "rg", "38"
"TZ", "1", "", "", "fé", "37"
"WO", "1", "", "", "dè", "37"
"AO", "1", "", "", "rf", "35"
"GD", "1", "", "", "œu", "33"
"IP", "1", "", "", "cô", "33"
"OA", "1", "", "", "eg", "33"
"RQ", "1", "", "", "ua", "32"
"RB", "1", "", "", "ep", "32"
"UB", "1", "", "", "ît", "32"
"XY", "1", "", "", "ov", "31"
"MT", "1", "", "", "èm", "31"
"", "", "", "", "ub", "29"
"", "", "", "", "ât", "29"
"", "", "", "", "pê", "28"
"", "", "", "", "oq", "27"
"", "", "", "", "ôt", "27"
"", "", "", "", "rk", "26"
"", "", "", "", "aj", "26"
"", "", "", "", "ug", "25"
"", "", "", "", "rô", "24"
"", "", "", "", "êm", "24"
"", "", "", "", "fê", "24"
"", "", "", "", "nô", "24"
"", "", "", "", "yé", "24"
"", "", "", "", "tê", "24"
"", "", "", "", "oe", "23"
"", "", "", "", "hô", "23"
"", "", "", "", "mn", "23"
"", "", "", "", "ÉN", "22"
"", "", "", "", "gm", "21"
"", "", "", "", "rq", "20"
"", "", "", "", "ÉR", "20"
"", "", "", "", "èv", "19"
"", "", "", "", "tô", "19"
"", "", "", "", "xi", "19"
"", "", "", "", "lc", "19"
"", "", "", "", "âc", "17"
"", "", "", "", "nç", "17"
"", "", "", "", "ze", "17"
"", "", "", "", "ÉS", "17"
"", "", "", "", "ps", "17"
"", "", "", "", "pô", "17"
"", "", "", "", "âm", "16"
"", "", "", "", "sh", "16"
"", "", "", "", "dg", "16"
"", "", "", "", "ly", "15"
"", "", "", "", "cè", "15"
"", "", "", "", "sf", "15"
"", "", "", "", "uh", "15"
"", "", "", "", "xt", "15"
"", "", "", "", "oj", "15"
"", "", "", "", "dû", "15"
"", "", "", "", "gê", "14"
"", "", "", "", "ÉT", "14"
"", "", "", "", "bs", "13"
"", "", "", "", "èt", "13"
"", "", "", "", "uê", "13"
"", "", "", "", "ûl", "12"
"", "", "", "", "nl", "12"
"", "", "", "", "hy", "12"
"", "", "", "", "cœ", "12"
"", "", "", "", "mt", "12"
"", "", "", "", "èn", "12"
"", "", "", "", "sû", "12"
"", "", "", "", "wa", "12"
"", "", "", "", "hè", "12"
"", "", "", "", "sl", "11"
"", "", "", "", "yo", "11"
"", "", "", "", "tâ", "11"
"", "", "", "", "lk", "11"
"", "", "", "", "gg", "11"
"", "", "", "", "ki", "11"
"", "", "", "", "oï", "10"
"", "", "", "", "âg", "10"
"", "", "", "", "fâ", "10"
"", "", "", "", "ed", "10"
"", "", "", "", "çu", "10"
"", "", "", "", "eû", "10"
"", "", "", "", "nè", "10"
"", "", "", "", "fs", "10"
"", "", "", "", "cy", "10"
"", "", "", "", "ah", "10"
"", "", "", "", "lv", "10"
"", "", "", "", "my", "9"
"", "", "", "", "aé", "9"
"", "", "", "", "xq", "9"
"", "", "", "", "éf", "9"
"", "", "", "", "dî", "9"
"", "", "", "", "gt", "9"
"", "", "", "", "xé", "8"
"", "", "", "", "èq", "8"
"", "", "", "", "fû", "8"
"", "", "", "", "ao", "8"
"", "", "", "", "ÉE", "8"
"", "", "", "", "vô", "8"
"", "", "", "", "ox", "8"
"", "", "", "", "éo", "8"
"", "", "", "", "èd", "8"
"", "", "", "", "hâ", "8"
"", "", "", "", "éb", "8"
"", "", "", "", "sk", "8"
"", "", "", "", "gâ", "7"
"", "", "", "", "lf", "7"
"", "", "", "", "uo", "7"
"", "", "", "", "za", "7"
"", "", "", "", "èl", "7"
"", "", "", "", "pâ", "7"
"", "", "", "", "dy", "7"
"", "", "", "", "gh", "7"
"", "", "", "", "nr", "6"
"", "", "", "", "ee", "6"
"", "", "", "", "vè", "6"
"", "", "", "", "ty", "6"
"", "", "", "", "nh", "6"
"", "", "", "", "bv", "6"
"", "", "", "", "bê", "6"
"", "", "", "", "nœ", "6"
"", "", "", "", "ïs", "6"
"", "", "", "", "eb", "6"
"", "", "", "", "ew", "6"
"", "", "", "", "nj", "5"
"", "", "", "", "éé", "5"
"", "", "", "", "sœ", "5"
"", "", "", "", "ck", "5"
"", "", "", "", "ÉC", "5"
"", "", "", "", "zo", "5"
"", "", "", "", "yl", "5"
"", "", "", "", "éâ", "5"
"", "", "", "", "ïq", "5"
"", "", "", "", "ey", "5"
"", "", "", "", "ÉV", "5"
"", "", "", "", "sè", "5"
"", "", "", "", "tL", "4"
"", "", "", "", "lâ", "4"
"", "", "", "", "ka", "4"
"", "", "", "", "hn", "4"
"", "", "", "", "ym", "4"
"", "", "", "", "vê", "4"
"", "", "", "", "êl", "4"
"", "", "", "", "ÉM", "4"
"", "", "", "", "n°", "4"
"", "", "", "", "Ét", "4"
"", "", "", "", "lp", "4"
"", "", "", "", "sn", "4"
"", "", "", "", "éi", "4"
"", "", "", "", "pû", "4"
"", "", "", "", "eS", "4"
"", "", "", "", "gè", "4"
"", "", "", "", "lb", "4"
"", "", "", "", "kg", "4"
"", "", "", "", "ÉL", "3"
"", "", "", "", "éh", "3"
"", "", "", "", "hr", "3"
"", "", "", "", "tz", "3"
"", "", "", "", "cê", "3"
"", "", "", "", "aa", "3"
"", "", "", "", "nk", "3"
"", "", "", "", "rç", "3"
"", "", "", "", "dn", "3"
"", "", "", "", "……", "3"
"", "", "", "", "ôn", "3"
"", "", "", "", "ïv", "3"
"", "", "", "", "gs", "3"
"", "", "", "", "bd", "3"
"", "", "", "", "tc", "3"
"", "", "", "", "sg", "3"
"", "", "", "", "lm", "3"
"", "", "", "", "ft", "3"
"", "", "", "", "xo", "3"
"", "", "", "", "bâ", "3"
"", "", "", "", "sb", "3"
"", "", "", "", "ws", "3"
"", "", "", "", "ÉA", "3"
"", "", "", "", "ky", "3"
"", "", "", "", "ms", "2"
"", "", "", "", "ny", "2"
"", "", "", "", "ên", "2"
"", "", "", "", "rà", "2"
"", "", "", "", "oo", "2"
"", "", "", "", "kl", "2"
"", "", "", "", "yp", "2"
"", "", "", "", "îl", "2"
"", "", "", "", "ïf", "2"
"", "", "", "", "uz", "2"
"", "", "", "", "mœ", "2"
"", "", "", "", "ih", "2"
"", "", "", "", "ël", "2"
"", "", "", "", "by", "2"
"", "", "", "", "îm", "2"
"", "", "", "", "ïe", "2"
"", "", "", "", "bm", "2"
"", "", "", "", "mû", "2"
"", "", "", "", "yx", "2"
"", "", "", "", "ko", "2"
"", "", "", "", "eL", "2"
"", "", "", "", "ïn", "2"
"", "", "", "", "d!", "2"
"", "", "", "", "pn", "2"
"", "", "", "", "wi", "2"
"", "", "", "", "df", "2"
"", "", "", "", "ks", "2"
"", "", "", "", "ow", "2"
"", "", "", "", "xx", "2"
"", "", "", "", "zS", "2"
"", "", "", "", "ÉP", "2"
"", "", "", "", "ÈS", "2"
"", "", "", "", "ÉG", "2"
"", "", "", "", "yi", "2"
"", "", "", "", "zè", "1"
"", "", "", "", "uq", "1"
"", "", "", "", "mâ", "1"
"", "", "", "", "bt", "1"
"", "", "", "", "ae", "1"
"", "", "", "", "ân", "1"
"", "", "", "", "hs", "1"
"", "", "", "", "xa", "1"
"", "", "", "", "zi", "1"
"", "", "", "", "éz", "1"
"", "", "", "", "cq", "1"
"", "", "", "", "îf", "1"
"", "", "", "", "nb", "1"
"", "", "", "", "œi", "1"
"", "", "", "", "sw", "1"
"", "", "", "", "çû", "1"
"", "", "", "", "nL", "1"
"", "", "", "", "ûe", "1"
"", "", "", "", "zé", "1"
"", "", "", "", "nz", "1"
"", "", "", "", "yr", "1"
"", "", "", "", "aï", "1"
"", "", "", "", "eo", "1"
"", "", "", "", "vy", "1"
"", "", "", "", "sd", "1"
"", "", "", "", "ïo", "1"
"", "", "", "", "kf", "1"
"", "", "", "", "tC", "1"
"", "", "", "", "ùp", "1"
"", "", "", "", "nâ", "1"
"", "", "", "", "ÏV", "1"
"", "", "", "", "ry", "1"
"", "", "", "", "hw", "1"
"", "", "", "", "rL", "1"
"", "", "", "", "zu", "1"
"", "", "", "", "râ", "1"
"", "", "", "", "n!", "1"
"", "", "", "", "ht", "1"
"", "", "", "", "yt", "1"
"", "", "", "", "tè", "1"
"", "", "", "", "t?", "1"
"", "", "", "", "éx", "1"
"", "", "", "", "oa", "1"
"", "", "", "", "ôm", "1"
"", "", "", "", "iâ", "1"
"", "", "", "", "rz", "1"
"", "", "", "", "yf", "1"
"", "", "", "", "nê", "1"
"", "", "", "", "yn", "1"
"", "", "", "", "sv", "1"
"", "", "", "", "vœ", "1"
"", "", "", "", "hf", "1"
"", "", "", "", "dà", "1"
"", "", "", "", "bj", "1"
"", "", "", "", "km", "1"
"", "", "", "", "éS", "1"
"", "", "", "", "qe", "1"
"", "", "", "", "tf", "1"
"", "", "", "", "éL", "1"
"", "", "", "", "gb", "1"
"", "", "", "", "iP", "1"
"", "", "", "", "lw", "1"
"", "", "", "", "ÉD", "1"
"", "", "", "", "aL", "1"
"", "", "", "", "ët", "1"
"", "", "", "", "nS", "1"
"", "", "", "", "we", "1"
"", "", "", "", "yC", "1"
"", "", "", "", "ok", "1"
"", "", "", "", "tS", "1"
"", "", "", "", "fC", "1"
"", "", "", "", "dh", "1"
"", "", "", "", "iò", "1"
"", "", "", "", "c…", "1"
"", "", "", "", "àL", "1"
"", "", "", "", "yc", "1"
